sequence,replicate,rate_hz,phase_native_samples,unique_histories,tested_delays
building02,replicate_01_base42,1.0,0,3,5
building02,replicate_01_base42,1.0,1,3,5
building02,replicate_01_base42,1.0,2,3,5
building02,replicate_01_base42,1.0,3,3,5
building02,replicate_01_base42,1.0,4,3,5
building02,replicate_01_base42,1.0,5,3,5
building02,replicate_01_base42,1.0,6,3,5
building02,replicate_01_base42,1.0,7,3,5
building02,replicate_01_base42,1.0,8,3,5
building02,replicate_01_base42,1.0,9,3,5
building02,replicate_01_base42,2.0,0,3,5
building02,replicate_01_base42,2.0,1,3,5
building02,replicate_01_base42,2.0,2,3,5
building02,replicate_01_base42,2.0,3,3,5
building02,replicate_01_base42,2.0,4,3,5
building02,replicate_01_base42,5.0,0,3,5
building02,replicate_01_base42,5.0,1,3,5
building02,replicate_01_base42,10.0,0,3,5
building02,replicate_02_base1042,1.0,0,3,5
building02,replicate_02_base1042,1.0,1,3,5
building02,replicate_02_base1042,1.0,2,3,5
building02,replicate_02_base1042,1.0,3,3,5
building02,replicate_02_base1042,1.0,4,3,5
building02,replicate_02_base1042,1.0,5,3,5
building02,replicate_02_base1042,1.0,6,3,5
building02,replicate_02_base1042,1.0,7,3,5
building02,replicate_02_base1042,1.0,8,3,5
building02,replicate_02_base1042,1.0,9,3,5
building02,replicate_02_base1042,2.0,0,3,5
building02,replicate_02_base1042,2.0,1,3,5
building02,replicate_02_base1042,2.0,2,3,5
building02,replicate_02_base1042,2.0,3,3,5
building02,replicate_02_base1042,2.0,4,3,5
building02,replicate_02_base1042,5.0,0,3,5
building02,replicate_02_base1042,5.0,1,3,5
building02,replicate_02_base1042,10.0,0,3,5
building02,replicate_03_base2042,1.0,0,3,5
building02,replicate_03_base2042,1.0,1,3,5
building02,replicate_03_base2042,1.0,2,3,5
building02,replicate_03_base2042,1.0,3,3,5
building02,replicate_03_base2042,1.0,4,3,5
building02,replicate_03_base2042,1.0,5,3,5
building02,replicate_03_base2042,1.0,6,3,5
building02,replicate_03_base2042,1.0,7,3,5
building02,replicate_03_base2042,1.0,8,3,5
building02,replicate_03_base2042,1.0,9,3,5
building02,replicate_03_base2042,2.0,0,3,5
building02,replicate_03_base2042,2.0,1,3,5
building02,replicate_03_base2042,2.0,2,3,5
building02,replicate_03_base2042,2.0,3,3,5
building02,replicate_03_base2042,2.0,4,3,5
building02,replicate_03_base2042,5.0,0,3,5
building02,replicate_03_base2042,5.0,1,3,5
building02,replicate_03_base2042,10.0,0,3,5
parking00,replicate_01_base42,1.0,0,3,5
parking00,replicate_01_base42,1.0,1,3,5
parking00,replicate_01_base42,1.0,2,3,5
parking00,replicate_01_base42,1.0,3,3,5
parking00,replicate_01_base42,1.0,4,3,5
parking00,replicate_01_base42,1.0,5,3,5
parking00,replicate_01_base42,1.0,6,3,5
parking00,replicate_01_base42,1.0,7,3,5
parking00,replicate_01_base42,1.0,8,3,5
parking00,replicate_01_base42,1.0,9,3,5
parking00,replicate_01_base42,2.0,0,3,5
parking00,replicate_01_base42,2.0,1,3,5
parking00,replicate_01_base42,2.0,2,3,5
parking00,replicate_01_base42,2.0,3,3,5
parking00,replicate_01_base42,2.0,4,3,5
parking00,replicate_01_base42,5.0,0,3,5
parking00,replicate_01_base42,5.0,1,3,5
parking00,replicate_01_base42,10.0,0,3,5
parking00,replicate_02_base1042,1.0,0,3,5
parking00,replicate_02_base1042,1.0,1,3,5
parking00,replicate_02_base1042,1.0,2,3,5
parking00,replicate_02_base1042,1.0,3,3,5
parking00,replicate_02_base1042,1.0,4,3,5
parking00,replicate_02_base1042,1.0,5,3,5
parking00,replicate_02_base1042,1.0,6,3,5
parking00,replicate_02_base1042,1.0,7,3,5
parking00,replicate_02_base1042,1.0,8,3,5
parking00,replicate_02_base1042,1.0,9,3,5
parking00,replicate_02_base1042,2.0,0,3,5
parking00,replicate_02_base1042,2.0,1,3,5
parking00,replicate_02_base1042,2.0,2,3,5
parking00,replicate_02_base1042,2.0,3,3,5
parking00,replicate_02_base1042,2.0,4,3,5
parking00,replicate_02_base1042,5.0,0,3,5
parking00,replicate_02_base1042,5.0,1,3,5
parking00,replicate_02_base1042,10.0,0,3,5
parking00,replicate_03_base2042,1.0,0,3,5
parking00,replicate_03_base2042,1.0,1,3,5
parking00,replicate_03_base2042,1.0,2,3,5
parking00,replicate_03_base2042,1.0,3,3,5
parking00,replicate_03_base2042,1.0,4,3,5
parking00,replicate_03_base2042,1.0,5,3,5
parking00,replicate_03_base2042,1.0,6,3,5
parking00,replicate_03_base2042,1.0,7,3,5
parking00,replicate_03_base2042,1.0,8,3,5
parking00,replicate_03_base2042,1.0,9,3,5
parking00,replicate_03_base2042,2.0,0,3,5
parking00,replicate_03_base2042,2.0,1,3,5
parking00,replicate_03_base2042,2.0,2,3,5
parking00,replicate_03_base2042,2.0,3,3,5
parking00,replicate_03_base2042,2.0,4,3,5
parking00,replicate_03_base2042,5.0,0,3,5
parking00,replicate_03_base2042,5.0,1,3,5
parking00,replicate_03_base2042,10.0,0,3,5
parking01,replicate_01_base42,1.0,0,3,5
parking01,replicate_01_base42,1.0,1,3,5
parking01,replicate_01_base42,1.0,2,3,5
parking01,replicate_01_base42,1.0,3,3,5
parking01,replicate_01_base42,1.0,4,3,5
parking01,replicate_01_base42,1.0,5,3,5
parking01,replicate_01_base42,1.0,6,3,5
parking01,replicate_01_base42,1.0,7,3,5
parking01,replicate_01_base42,1.0,8,3,5
parking01,replicate_01_base42,1.0,9,3,5
parking01,replicate_01_base42,2.0,0,3,5
parking01,replicate_01_base42,2.0,1,3,5
parking01,replicate_01_base42,2.0,2,3,5
parking01,replicate_01_base42,2.0,3,3,5
parking01,replicate_01_base42,2.0,4,3,5
parking01,replicate_01_base42,5.0,0,3,5
parking01,replicate_01_base42,5.0,1,3,5
parking01,replicate_01_base42,10.0,0,3,5
parking01,replicate_02_base1042,1.0,0,3,5
parking01,replicate_02_base1042,1.0,1,3,5
parking01,replicate_02_base1042,1.0,2,3,5
parking01,replicate_02_base1042,1.0,3,3,5
parking01,replicate_02_base1042,1.0,4,3,5
parking01,replicate_02_base1042,1.0,5,3,5
parking01,replicate_02_base1042,1.0,6,3,5
parking01,replicate_02_base1042,1.0,7,3,5
parking01,replicate_02_base1042,1.0,8,3,5
parking01,replicate_02_base1042,1.0,9,3,5
parking01,replicate_02_base1042,2.0,0,3,5
parking01,replicate_02_base1042,2.0,1,3,5
parking01,replicate_02_base1042,2.0,2,3,5
parking01,replicate_02_base1042,2.0,3,3,5
parking01,replicate_02_base1042,2.0,4,3,5
parking01,replicate_02_base1042,5.0,0,3,5
parking01,replicate_02_base1042,5.0,1,3,5
parking01,replicate_02_base1042,10.0,0,3,5
parking01,replicate_03_base2042,1.0,0,3,5
parking01,replicate_03_base2042,1.0,1,3,5
parking01,replicate_03_base2042,1.0,2,3,5
parking01,replicate_03_base2042,1.0,3,3,5
parking01,replicate_03_base2042,1.0,4,3,5
parking01,replicate_03_base2042,1.0,5,3,5
parking01,replicate_03_base2042,1.0,6,3,5
parking01,replicate_03_base2042,1.0,7,3,5
parking01,replicate_03_base2042,1.0,8,3,5
parking01,replicate_03_base2042,1.0,9,3,5
parking01,replicate_03_base2042,2.0,0,3,5
parking01,replicate_03_base2042,2.0,1,3,5
parking01,replicate_03_base2042,2.0,2,3,5
parking01,replicate_03_base2042,2.0,3,3,5
parking01,replicate_03_base2042,2.0,4,3,5
parking01,replicate_03_base2042,5.0,0,3,5
parking01,replicate_03_base2042,5.0,1,3,5
parking01,replicate_03_base2042,10.0,0,3,5
parking02,replicate_01_base42,1.0,0,3,5
parking02,replicate_01_base42,1.0,1,3,5
parking02,replicate_01_base42,1.0,2,3,5
parking02,replicate_01_base42,1.0,3,3,5
parking02,replicate_01_base42,1.0,4,3,5
parking02,replicate_01_base42,1.0,5,3,5
parking02,replicate_01_base42,1.0,6,3,5
parking02,replicate_01_base42,1.0,7,3,5
parking02,replicate_01_base42,1.0,8,3,5
parking02,replicate_01_base42,1.0,9,3,5
parking02,replicate_01_base42,2.0,0,3,5
parking02,replicate_01_base42,2.0,1,3,5
parking02,replicate_01_base42,2.0,2,3,5
parking02,replicate_01_base42,2.0,3,3,5
parking02,replicate_01_base42,2.0,4,3,5
parking02,replicate_01_base42,5.0,0,3,5
parking02,replicate_01_base42,5.0,1,3,5
parking02,replicate_01_base42,10.0,0,3,5
parking02,replicate_02_base1042,1.0,0,3,5
parking02,replicate_02_base1042,1.0,1,3,5
parking02,replicate_02_base1042,1.0,2,3,5
parking02,replicate_02_base1042,1.0,3,3,5
parking02,replicate_02_base1042,1.0,4,3,5
parking02,replicate_02_base1042,1.0,5,3,5
parking02,replicate_02_base1042,1.0,6,3,5
parking02,replicate_02_base1042,1.0,7,3,5
parking02,replicate_02_base1042,1.0,8,3,5
parking02,replicate_02_base1042,1.0,9,3,5
parking02,replicate_02_base1042,2.0,0,3,5
parking02,replicate_02_base1042,2.0,1,3,5
parking02,replicate_02_base1042,2.0,2,3,5
parking02,replicate_02_base1042,2.0,3,3,5
parking02,replicate_02_base1042,2.0,4,3,5
parking02,replicate_02_base1042,5.0,0,3,5
parking02,replicate_02_base1042,5.0,1,3,5
parking02,replicate_02_base1042,10.0,0,3,5
parking02,replicate_03_base2042,1.0,0,3,5
parking02,replicate_03_base2042,1.0,1,3,5
parking02,replicate_03_base2042,1.0,2,3,5
parking02,replicate_03_base2042,1.0,3,3,5
parking02,replicate_03_base2042,1.0,4,3,5
parking02,replicate_03_base2042,1.0,5,3,5
parking02,replicate_03_base2042,1.0,6,3,5
parking02,replicate_03_base2042,1.0,7,3,5
parking02,replicate_03_base2042,1.0,8,3,5
parking02,replicate_03_base2042,1.0,9,3,5
parking02,replicate_03_base2042,2.0,0,3,5
parking02,replicate_03_base2042,2.0,1,3,5
parking02,replicate_03_base2042,2.0,2,3,5
parking02,replicate_03_base2042,2.0,3,3,5
parking02,replicate_03_base2042,2.0,4,3,5
parking02,replicate_03_base2042,5.0,0,3,5
parking02,replicate_03_base2042,5.0,1,3,5
parking02,replicate_03_base2042,10.0,0,3,5
playground00,replicate_01_base42,1.0,0,3,5
playground00,replicate_01_base42,1.0,1,3,5
playground00,replicate_01_base42,1.0,2,3,5
playground00,replicate_01_base42,1.0,3,3,5
playground00,replicate_01_base42,1.0,4,3,5
playground00,replicate_01_base42,1.0,5,3,5
playground00,replicate_01_base42,1.0,6,3,5
playground00,replicate_01_base42,1.0,7,3,5
playground00,replicate_01_base42,1.0,8,3,5
playground00,replicate_01_base42,1.0,9,3,5
playground00,replicate_01_base42,2.0,0,3,5
playground00,replicate_01_base42,2.0,1,3,5
playground00,replicate_01_base42,2.0,2,3,5
playground00,replicate_01_base42,2.0,3,3,5
playground00,replicate_01_base42,2.0,4,3,5
playground00,replicate_01_base42,5.0,0,3,5
playground00,replicate_01_base42,5.0,1,3,5
playground00,replicate_01_base42,10.0,0,3,5
playground00,replicate_02_base1042,1.0,0,3,5
playground00,replicate_02_base1042,1.0,1,3,5
playground00,replicate_02_base1042,1.0,2,3,5
playground00,replicate_02_base1042,1.0,3,3,5
playground00,replicate_02_base1042,1.0,4,3,5
playground00,replicate_02_base1042,1.0,5,3,5
playground00,replicate_02_base1042,1.0,6,3,5
playground00,replicate_02_base1042,1.0,7,3,5
playground00,replicate_02_base1042,1.0,8,3,5
playground00,replicate_02_base1042,1.0,9,3,5
playground00,replicate_02_base1042,2.0,0,3,5
playground00,replicate_02_base1042,2.0,1,3,5
playground00,replicate_02_base1042,2.0,2,3,5
playground00,replicate_02_base1042,2.0,3,3,5
playground00,replicate_02_base1042,2.0,4,3,5
playground00,replicate_02_base1042,5.0,0,3,5
playground00,replicate_02_base1042,5.0,1,3,5
playground00,replicate_02_base1042,10.0,0,3,5
playground00,replicate_03_base2042,1.0,0,3,5
playground00,replicate_03_base2042,1.0,1,3,5
playground00,replicate_03_base2042,1.0,2,3,5
playground00,replicate_03_base2042,1.0,3,3,5
playground00,replicate_03_base2042,1.0,4,3,5
playground00,replicate_03_base2042,1.0,5,3,5
playground00,replicate_03_base2042,1.0,6,3,5
playground00,replicate_03_base2042,1.0,7,3,5
playground00,replicate_03_base2042,1.0,8,3,5
playground00,replicate_03_base2042,1.0,9,3,5
playground00,replicate_03_base2042,2.0,0,3,5
playground00,replicate_03_base2042,2.0,1,3,5
playground00,replicate_03_base2042,2.0,2,3,5
playground00,replicate_03_base2042,2.0,3,3,5
playground00,replicate_03_base2042,2.0,4,3,5
playground00,replicate_03_base2042,5.0,0,3,5
playground00,replicate_03_base2042,5.0,1,3,5
playground00,replicate_03_base2042,10.0,0,3,5
street00,replicate_01_base42,1.0,0,3,5
street00,replicate_01_base42,1.0,1,3,5
street00,replicate_01_base42,1.0,2,3,5
street00,replicate_01_base42,1.0,3,3,5
street00,replicate_01_base42,1.0,4,3,5
street00,replicate_01_base42,1.0,5,3,5
street00,replicate_01_base42,1.0,6,3,5
street00,replicate_01_base42,1.0,7,3,5
street00,replicate_01_base42,1.0,8,3,5
street00,replicate_01_base42,1.0,9,3,5
street00,replicate_01_base42,2.0,0,3,5
street00,replicate_01_base42,2.0,1,3,5
street00,replicate_01_base42,2.0,2,3,5
street00,replicate_01_base42,2.0,3,3,5
street00,replicate_01_base42,2.0,4,3,5
street00,replicate_01_base42,5.0,0,3,5
street00,replicate_01_base42,5.0,1,3,5
street00,replicate_01_base42,10.0,0,3,5
street00,replicate_02_base1042,1.0,0,3,5
street00,replicate_02_base1042,1.0,1,3,5
street00,replicate_02_base1042,1.0,2,3,5
street00,replicate_02_base1042,1.0,3,3,5
street00,replicate_02_base1042,1.0,4,3,5
street00,replicate_02_base1042,1.0,5,3,5
street00,replicate_02_base1042,1.0,6,3,5
street00,replicate_02_base1042,1.0,7,3,5
street00,replicate_02_base1042,1.0,8,3,5
street00,replicate_02_base1042,1.0,9,3,5
street00,replicate_02_base1042,2.0,0,3,5
street00,replicate_02_base1042,2.0,1,3,5
street00,replicate_02_base1042,2.0,2,3,5
street00,replicate_02_base1042,2.0,3,3,5
street00,replicate_02_base1042,2.0,4,3,5
street00,replicate_02_base1042,5.0,0,3,5
street00,replicate_02_base1042,5.0,1,3,5
street00,replicate_02_base1042,10.0,0,3,5
street00,replicate_03_base2042,1.0,0,3,5
street00,replicate_03_base2042,1.0,1,3,5
street00,replicate_03_base2042,1.0,2,3,5
street00,replicate_03_base2042,1.0,3,3,5
street00,replicate_03_base2042,1.0,4,3,5
street00,replicate_03_base2042,1.0,5,3,5
street00,replicate_03_base2042,1.0,6,3,5
street00,replicate_03_base2042,1.0,7,3,5
street00,replicate_03_base2042,1.0,8,3,5
street00,replicate_03_base2042,1.0,9,3,5
street00,replicate_03_base2042,2.0,0,3,5
street00,replicate_03_base2042,2.0,1,3,5
street00,replicate_03_base2042,2.0,2,3,5
street00,replicate_03_base2042,2.0,3,3,5
street00,replicate_03_base2042,2.0,4,3,5
street00,replicate_03_base2042,5.0,0,3,5
street00,replicate_03_base2042,5.0,1,3,5
street00,replicate_03_base2042,10.0,0,3,5
street01,replicate_01_base42,1.0,0,3,5
street01,replicate_01_base42,1.0,1,3,5
street01,replicate_01_base42,1.0,2,3,5
street01,replicate_01_base42,1.0,3,3,5
street01,replicate_01_base42,1.0,4,3,5
street01,replicate_01_base42,1.0,5,3,5
street01,replicate_01_base42,1.0,6,3,5
street01,replicate_01_base42,1.0,7,3,5
street01,replicate_01_base42,1.0,8,3,5
street01,replicate_01_base42,1.0,9,3,5
street01,replicate_01_base42,2.0,0,3,5
street01,replicate_01_base42,2.0,1,3,5
street01,replicate_01_base42,2.0,2,3,5
street01,replicate_01_base42,2.0,3,3,5
street01,replicate_01_base42,2.0,4,3,5
street01,replicate_01_base42,5.0,0,3,5
street01,replicate_01_base42,5.0,1,3,5
street01,replicate_01_base42,10.0,0,3,5
street01,replicate_02_base1042,1.0,0,3,5
street01,replicate_02_base1042,1.0,1,3,5
street01,replicate_02_base1042,1.0,2,3,5
street01,replicate_02_base1042,1.0,3,3,5
street01,replicate_02_base1042,1.0,4,3,5
street01,replicate_02_base1042,1.0,5,3,5
street01,replicate_02_base1042,1.0,6,3,5
street01,replicate_02_base1042,1.0,7,3,5
street01,replicate_02_base1042,1.0,8,3,5
street01,replicate_02_base1042,1.0,9,3,5
street01,replicate_02_base1042,2.0,0,3,5
street01,replicate_02_base1042,2.0,1,3,5
street01,replicate_02_base1042,2.0,2,3,5
street01,replicate_02_base1042,2.0,3,3,5
street01,replicate_02_base1042,2.0,4,3,5
street01,replicate_02_base1042,5.0,0,3,5
street01,replicate_02_base1042,5.0,1,3,5
street01,replicate_02_base1042,10.0,0,3,5
street01,replicate_03_base2042,1.0,0,3,5
street01,replicate_03_base2042,1.0,1,3,5
street01,replicate_03_base2042,1.0,2,3,5
street01,replicate_03_base2042,1.0,3,3,5
street01,replicate_03_base2042,1.0,4,3,5
street01,replicate_03_base2042,1.0,5,3,5
street01,replicate_03_base2042,1.0,6,3,5
street01,replicate_03_base2042,1.0,7,3,5
street01,replicate_03_base2042,1.0,8,3,5
street01,replicate_03_base2042,1.0,9,3,5
street01,replicate_03_base2042,2.0,0,3,5
street01,replicate_03_base2042,2.0,1,3,5
street01,replicate_03_base2042,2.0,2,3,5
street01,replicate_03_base2042,2.0,3,3,5
street01,replicate_03_base2042,2.0,4,3,5
street01,replicate_03_base2042,5.0,0,3,5
street01,replicate_03_base2042,5.0,1,3,5
street01,replicate_03_base2042,10.0,0,3,5
street02,replicate_01_base42,1.0,0,3,5
street02,replicate_01_base42,1.0,1,3,5
street02,replicate_01_base42,1.0,2,3,5
street02,replicate_01_base42,1.0,3,3,5
street02,replicate_01_base42,1.0,4,3,5
street02,replicate_01_base42,1.0,5,3,5
street02,replicate_01_base42,1.0,6,3,5
street02,replicate_01_base42,1.0,7,3,5
street02,replicate_01_base42,1.0,8,3,5
street02,replicate_01_base42,1.0,9,3,5
street02,replicate_01_base42,2.0,0,3,5
street02,replicate_01_base42,2.0,1,3,5
street02,replicate_01_base42,2.0,2,3,5
street02,replicate_01_base42,2.0,3,3,5
street02,replicate_01_base42,2.0,4,3,5
street02,replicate_01_base42,5.0,0,3,5
street02,replicate_01_base42,5.0,1,3,5
street02,replicate_01_base42,10.0,0,3,5
street02,replicate_02_base1042,1.0,0,3,5
street02,replicate_02_base1042,1.0,1,3,5
street02,replicate_02_base1042,1.0,2,3,5
street02,replicate_02_base1042,1.0,3,3,5
street02,replicate_02_base1042,1.0,4,3,5
street02,replicate_02_base1042,1.0,5,3,5
street02,replicate_02_base1042,1.0,6,3,5
street02,replicate_02_base1042,1.0,7,3,5
street02,replicate_02_base1042,1.0,8,3,5
street02,replicate_02_base1042,1.0,9,3,5
street02,replicate_02_base1042,2.0,0,3,5
street02,replicate_02_base1042,2.0,1,3,5
street02,replicate_02_base1042,2.0,2,3,5
street02,replicate_02_base1042,2.0,3,3,5
street02,replicate_02_base1042,2.0,4,3,5
street02,replicate_02_base1042,5.0,0,3,5
street02,replicate_02_base1042,5.0,1,3,5
street02,replicate_02_base1042,10.0,0,3,5
street02,replicate_03_base2042,1.0,0,3,5
street02,replicate_03_base2042,1.0,1,3,5
street02,replicate_03_base2042,1.0,2,3,5
street02,replicate_03_base2042,1.0,3,3,5
street02,replicate_03_base2042,1.0,4,3,5
street02,replicate_03_base2042,1.0,5,3,5
street02,replicate_03_base2042,1.0,6,3,5
street02,replicate_03_base2042,1.0,7,3,5
street02,replicate_03_base2042,1.0,8,3,5
street02,replicate_03_base2042,1.0,9,3,5
street02,replicate_03_base2042,2.0,0,3,5
street02,replicate_03_base2042,2.0,1,3,5
street02,replicate_03_base2042,2.0,2,3,5
street02,replicate_03_base2042,2.0,3,3,5
street02,replicate_03_base2042,2.0,4,3,5
street02,replicate_03_base2042,5.0,0,3,5
street02,replicate_03_base2042,5.0,1,3,5
street02,replicate_03_base2042,10.0,0,3,5
