sequence,replicate,condition,random_seed,requested_rate_hz,realized_arrival_rate_hz,requested_packets,delivered_packets,arrived_within_run_packets,random_lost_packets,burst_lost_packets,lost_packets,realized_loss_fraction,burst_loss_fraction,delay_p50_ms,delay_p95_ms,delay_max_ms
building01,replicate_01_base42,burst_2hz_2s_every_10s,8906869993899255435,2.0,1.5239625949737003,2738,2086,2086,132,548,652,0.2381300219138057,0.20014609203798392,202.3392382111311,281.1870073967296,358.1137664874887
building02,replicate_01_base42,ideal_10hz,15985851415686871213,10.0,10.000534387858615,18714,18714,18714,0,0,0,0.0,0.0,0.0,0.0,0.0
building02,replicate_01_base42,nominal_5hz,6526825852269849080,5.0,4.955378613797849,9357,9273,9273,84,0,84,0.008977236293683874,0.0,50.02656999367779,83.52217078493182,122.71249906594262
building02,replicate_01_base42,degraded_2hz,1687374173674007756,2.0,1.8906642441083563,3743,3538,3538,205,0,205,0.05476890195030724,0.0,199.70099866134268,280.6997515571217,368.1545781909071
building02,replicate_01_base42,stress_1hz,10459958584982434165,1.0,0.900977929781427,1872,1686,1686,186,0,186,0.09935897435897435,0.0,298.0097412446207,467.18800673746534,624.8924069687289
building02,replicate_01_base42,burst_5hz_1s_every_8s,8911985072400852142,5.0,4.338160636990287,9357,8118,8118,73,1170,1239,0.13241423533183713,0.12504007694773966,50.26652057349733,83.79793529712022,129.13590809002483
building02,replicate_01_base42,burst_2hz_2s_every_10s,7470501947469582367,2.0,1.5251429487521901,3743,2854,2854,177,751,889,0.2375100187015763,0.20064119690088164,198.93709676431453,281.95374410244006,379.21059080945804
parking00,replicate_01_base42,ideal_10hz,11598608532613105525,10.0,10.000876577840215,11409,11409,11409,0,0,0,0.0,0.0,0.0,0.0,0.0
parking00,replicate_01_base42,nominal_5hz,14472501803025940722,5.0,4.945652173913094,5705,5643,5642,62,0,62,0.010867659947414548,0.0,49.9800091816814,83.62948594115998,131.1544769349939
parking00,replicate_01_base42,degraded_2hz,14630841519299105957,2.0,1.8925315568022634,2282,2159,2159,123,0,123,0.05390008764241893,0.0,201.12380165299575,280.1663624948331,372.1129215889367
parking00,replicate_01_base42,stress_1hz,10768246721380733877,1.0,0.8993688639551284,1141,1026,1026,115,0,115,0.10078878177037687,0.0,297.985163099004,462.5481933008142,614.2166347239167
parking00,replicate_01_base42,burst_5hz_1s_every_8s,5657917396440398409,5.0,4.335553997194995,5705,4947,4946,52,715,758,0.13286590709903592,0.12532865907099036,50.57246200994989,83.26649566909524,126.47974402860265
parking00,replicate_01_base42,burst_2hz_2s_every_10s,13446815304264399540,2.0,1.5164796633941249,2282,1730,1730,116,458,552,0.24189307624890447,0.2007011393514461,198.980574295435,282.55425594916716,342.35375413182857
parking01,replicate_01_base42,ideal_10hz,14878850871446025485,10.0,10.000943574259404,10599,10599,10599,0,0,0,0.0,0.0,0.0,0.0,0.0
parking01,replicate_01_base42,nominal_5hz,5818023946021994770,5.0,4.936780524627342,5300,5233,5232,67,0,67,0.012641509433962264,0.0,49.462432738853984,83.43554278025303,126.13281163343858
parking01,replicate_01_base42,degraded_2hz,4249181871764132612,2.0,1.8984714096999642,2120,2012,2012,108,0,108,0.0509433962264151,0.0,198.96250709110828,280.3805400268106,363.89633684551916
parking01,replicate_01_base42,stress_1hz,16087441914205994836,1.0,0.9039441404038597,1060,958,958,102,0,102,0.09622641509433963,0.0,303.37543950220595,472.00953627497205,646.642785778414
parking01,replicate_01_base42,burst_5hz_1s_every_8s,441387509261710016,5.0,4.330062275901161,5300,4590,4589,52,665,710,0.1339622641509434,0.12547169811320755,50.227652149866714,82.99020119674951,128.35276545515543
parking01,replicate_01_base42,burst_2hz_2s_every_10s,14839195559928194357,2.0,1.5238724287601602,2120,1615,1615,95,424,505,0.23820754716981132,0.2,198.61541706050804,281.820112916352,357.5093459662959
parking02,replicate_01_base42,ideal_10hz,15603076269232371065,10.0,10.000795671546879,12569,12569,12569,0,0,0,0.0,0.0,0.0,0.0,0.0
parking02,replicate_01_base42,nominal_5hz,10887582675849490923,5.0,4.953055378739702,6285,6226,6225,59,0,59,0.009387430389817025,0.0,50.51607557211931,83.66398365766611,125.22387960735885
parking02,replicate_01_base42,degraded_2hz,556861640520644220,2.0,1.90722469764483,2514,2397,2397,117,0,117,0.046539379474940336,0.0,200.18794369301796,282.2200293489824,385.8357497267737
parking02,replicate_01_base42,stress_1hz,6661331587300434763,1.0,0.9022915340547506,1257,1134,1134,123,0,123,0.09785202863961814,0.0,302.03737239281065,466.9401558570147,585.9844948348631
parking02,replicate_01_base42,burst_5hz_1s_every_8s,17355893351157060484,5.0,4.321292170592019,6285,5431,5431,69,790,854,0.13587907716786,0.12569610182975338,50.24895239886006,82.24903893239349,121.74360700301737
parking02,replicate_01_base42,burst_2hz_2s_every_10s,4345661199544439282,2.0,1.5237110120942217,2514,1915,1915,120,504,599,0.23826571201272873,0.20047732696897375,201.31409927434171,280.3523933235007,363.43904178078026
playground00,replicate_01_base42,ideal_10hz,9233015834348937764,10.0,10.000754034082034,13263,13263,13263,0,0,0,0.0,0.0,0.0,0.0,0.0
playground00,replicate_01_base42,nominal_5hz,15962416400668388773,5.0,4.957020057306438,6632,6575,6574,57,0,57,0.00859469240048251,0.0,50.06318939309342,83.06843484221778,124.2450043319003
playground00,replicate_01_base42,degraded_2hz,2311542203401314149,2.0,1.893379580756992,2653,2511,2511,142,0,142,0.05352431209950999,0.0,201.08604347035308,281.1977930283072,357.81394607191453
playground00,replicate_01_base42,stress_1hz,1705988799490947438,1.0,0.9071030010556198,1327,1204,1203,123,0,123,0.09269027882441598,0.0,301.7853624288914,461.8063388989946,656.6455913301747
playground00,replicate_01_base42,burst_5hz_1s_every_8s,9159426673135258074,5.0,4.319107223646376,6632,5729,5728,77,830,903,0.1361580217129071,0.12515078407720145,50.20984900706117,82.54183640450132,116.45089410561755
playground00,replicate_01_base42,burst_2hz_2s_every_10s,14418594480235853850,2.0,1.5337053234805742,2653,2035,2034,112,532,618,0.23294383716547304,0.20052770448548812,198.13593791788782,277.90719110042744,393.91595541869015
street00,replicate_01_base42,ideal_10hz,16815313400826691554,10.0,10.000727960981312,13738,13738,13738,0,0,0,0.0,0.0,0.0,0.0,0.0
street00,replicate_01_base42,nominal_5hz,9555879352593111868,5.0,4.954502438669298,6869,6806,6806,63,0,63,0.009171640704614936,0.0,50.42353389224587,83.06936123277649,122.06346552129183
street00,replicate_01_base42,degraded_2hz,10895820382313161783,2.0,1.8803232146756974,2748,2584,2583,164,0,164,0.05967976710334789,0.0,198.1880765823796,282.74557991322905,374.30338639376896
street00,replicate_01_base42,stress_1hz,1295473576978529894,1.0,0.920142680352335,1374,1264,1264,110,0,110,0.08005822416302766,0.0,300.2160556390455,455.01137539717394,633.2234428340284
street00,replicate_01_base42,burst_5hz_1s_every_8s,17471144121798998173,5.0,4.329911916721273,6869,5948,5948,75,860,921,0.13408065220556123,0.1252001746979182,49.59704416663313,83.17286645102288,126.88563601802535
street00,replicate_01_base42,burst_2hz_2s_every_10s,11801504326272635823,2.0,1.521438450899035,2748,2090,2090,138,552,658,0.23944687045123728,0.20087336244541484,199.39564038050375,284.6495464223173,377.27528760249726
street01,replicate_01_base42,ideal_10hz,14241338740370855272,10.0,10.000801153661296,12483,12483,12483,0,0,0,0.0,0.0,0.0,0.0,0.0
street01,replicate_01_base42,nominal_5hz,18385178346042474478,5.0,4.947925012017317,6242,6177,6176,65,0,65,0.010413329061198334,0.0,49.786725360533794,82.40519202542096,118.33144819658456
street01,replicate_01_base42,degraded_2hz,8365329684913053602,2.0,1.8963307162313776,2497,2367,2367,130,0,130,0.052062474969963954,0.0,202.06120581434536,283.1303714690235,385.1461053001185
street01,replicate_01_base42,stress_1hz,11957195596607259637,1.0,0.9029001762538076,1249,1128,1127,121,0,121,0.09687750200160128,0.0,297.6423152585882,461.01677786558434,605.6012374415718
street01,replicate_01_base42,burst_5hz_1s_every_8s,15405709979891319796,5.0,4.341451690434235,6242,5419,5419,51,782,823,0.1318487664210189,0.12528035885933997,50.02298211322366,83.11989162156614,127.49544676288292
street01,replicate_01_base42,burst_2hz_2s_every_10s,8622542070143487279,2.0,1.524595417401061,2497,1903,1903,112,500,594,0.23788546255506607,0.2002402883460152,199.85102375521353,279.9668044860134,358.27534433049533
street02,replicate_01_base42,ideal_10hz,3067487556630484487,10.0,10.00072474271642,13799,13799,13799,0,0,0,0.0,0.0,0.0,0.0,0.0
street02,replicate_01_base42,nominal_5hz,7944672057816005867,5.0,4.943470068125857,6900,6822,6821,78,0,78,0.011304347826086957,0.0,50.08134673649725,82.28586882302086,133.84249029048289
street02,replicate_01_base42,degraded_2hz,5938982138532240341,2.0,1.9111465429772592,2760,2637,2637,123,0,123,0.04456521739130435,0.0,199.90049837557459,284.58047463145306,371.6984274248066
street02,replicate_01_base42,stress_1hz,10842178677937038091,1.0,0.8979562255399409,1380,1239,1239,141,0,141,0.10217391304347827,0.0,299.5885597000788,457.19771785187646,643.1605668503682
street02,replicate_01_base42,burst_5hz_1s_every_8s,1587505080713786071,5.0,4.333961443687527,6900,5981,5980,67,865,919,0.13318840579710145,0.12536231884057972,49.70939344771354,83.54052593836084,124.52046121144383
street02,replicate_01_base42,burst_2hz_2s_every_10s,8107463514896108622,2.0,1.5248586751703275,2760,2104,2104,139,552,656,0.23768115942028986,0.2,202.6452313926472,281.32708748815713,375.32960586452987
building00,replicate_02_base1042,ideal_10hz,1690489241121693802,10.0,10.000832778147908,12009,12009,12009,0,0,0,0.0,0.0,0.0,0.0,0.0
building00,replicate_02_base1042,nominal_5hz,334412431030688680,5.0,4.943371085942708,6005,5937,5936,68,0,68,0.011323896752706078,0.0,49.52436234820112,83.06632279507483,123.82100635638001
building00,replicate_02_base1042,degraded_2hz,14593987887711938788,2.0,1.8979013990672897,2402,2279,2279,123,0,123,0.05120732722731058,0.0,198.77482984772905,284.0685079435664,380.53419484396807
building00,replicate_02_base1042,stress_1hz,6405005558168216608,1.0,0.8985676215856101,1201,1079,1079,122,0,122,0.1015820149875104,0.0,290.13590194756836,460.01438670730437,606.0994033737281
building00,replicate_02_base1042,burst_5hz_1s_every_8s,10417288486557499168,5.0,4.321285809460362,6005,5189,5189,66,755,816,0.13588676103247294,0.1257285595337219,49.46731654014866,83.51828375700104,118.3427310130942
building00,replicate_02_base1042,burst_2hz_2s_every_10s,9724731042179871214,2.0,1.5264823451032654,2402,1833,1833,111,482,569,0.23688592839300582,0.2006661115736886,199.46576314474052,279.8228047696732,379.64449703523786
building01,replicate_02_base1042,ideal_10hz,6601143437555188782,10.0,10.000730566919936,13689,13689,13689,0,0,0,0.0,0.0,0.0,0.0,0.0
building01,replicate_02_base1042,nominal_5hz,9265256007687106948,5.0,4.953243717124491,6845,6781,6780,64,0,64,0.009349890430971512,0.0,50.139779315081235,82.93384181034199,125.59136895158869
building01,replicate_02_base1042,degraded_2hz,6705193935694286348,2.0,1.8943600233781424,2738,2593,2593,145,0,145,0.05295836376917458,0.0,200.48765030333962,283.06460441908894,381.4998116559192
building01,replicate_02_base1042,stress_1hz,11697189191631660204,1.0,0.9029807130333143,1369,1236,1236,133,0,133,0.09715120525931337,0.0,301.7772554397724,468.69239148096835,621.1056412659582
building01,replicate_02_base1042,burst_5hz_1s_every_8s,16339936590134497061,5.0,4.324956165984807,6845,5920,5920,70,860,925,0.13513513513513514,0.1256391526661797,49.721409542560274,82.55715450817755,124.15565823777436
building01,replicate_02_base1042,burst_2hz_2s_every_10s,4161636413338255452,2.0,1.5144652250146122,2738,2073,2073,138,548,665,0.24287801314828342,0.20014609203798392,201.6537675426993,280.9617756826723,399.1230540860006
building02,replicate_02_base1042,ideal_10hz,371462233934058612,10.0,10.000534387858615,18714,18714,18714,0,0,0,0.0,0.0,0.0,0.0,0.0
building02,replicate_02_base1042,nominal_5hz,9569247660951905041,5.0,4.948965959493354,9357,9261,9261,96,0,96,0.010259698621352998,0.0,49.39364653116606,82.64086629951176,128.47546392208733
building02,replicate_02_base1042,degraded_2hz,2411274303814456909,2.0,1.8933361834018954,3743,3543,3543,200,0,200,0.053433075073470476,0.0,199.05645809099084,279.6266338119771,359.870064305905
building02,replicate_02_base1042,stress_1hz,5590777243428946933,1.0,0.8988403783465956,1872,1682,1682,190,0,190,0.1014957264957265,0.0,301.7476461629475,472.66168760854254,608.8129160014478
building02,replicate_02_base1042,burst_5hz_1s_every_8s,830126843158627988,5.0,4.333885534120625,9357,8110,8110,90,1170,1247,0.13326921021694987,0.12504007694773966,50.135420689341615,83.89187012767782,131.33661754813994
building02,replicate_02_base1042,burst_2hz_2s_every_10s,6876983218034369154,2.0,1.5171271308715724,3743,2839,2839,192,751,904,0.24151749933208655,0.20064119690088164,199.34449569993745,283.7334342563998,383.6869181940323
parking00,replicate_02_base1042,ideal_10hz,11995793222006182292,10.0,10.000876577840215,11409,11409,11409,0,0,0,0.0,0.0,0.0,0.0,0.0
parking00,replicate_02_base1042,nominal_5hz,2960660186395118203,5.0,4.952664796633992,5705,5651,5650,54,0,54,0.009465381244522349,0.0,49.91840700820173,83.4927071107254,117.50739563234923
parking00,replicate_02_base1042,degraded_2hz,13185222569521147399,2.0,1.8969144460028244,2282,2164,2164,118,0,118,0.051709027169149865,0.0,202.75164159537485,281.5642382493612,359.83562059142497
parking00,replicate_02_base1042,stress_1hz,7697362273227146876,1.0,0.9090112201963627,1141,1037,1037,104,0,104,0.09114811568799298,0.0,301.2664258254038,458.25353447957747,619.7187114511974
parking00,replicate_02_base1042,burst_5hz_1s_every_8s,6758040335653907186,5.0,4.3285413744740975,5705,4939,4938,55,715,766,0.13426818580192812,0.12532865907099036,49.884864775655814,81.9575328846167,135.12120322756596
parking00,replicate_02_base1042,burst_2hz_2s_every_10s,15779616280775073791,2.0,1.526122019635359,2282,1741,1741,105,458,541,0.23707274320771254,0.2007011393514461,199.3866538008623,288.01715999975863,349.7274415692383
parking01,replicate_02_base1042,ideal_10hz,17160704098895941213,10.0,10.000943574259404,10599,10599,10599,0,0,0,0.0,0.0,0.0,0.0,0.0
parking01,replicate_02_base1042,nominal_5hz,8564458651310511184,5.0,4.959426306850403,5300,5257,5256,43,0,43,0.008113207547169812,0.0,50.38904372681339,83.68673283175062,124.00352003412667
parking01,replicate_02_base1042,degraded_2hz,11553059210515948636,2.0,1.8984714096999642,2120,2012,2012,108,0,108,0.0509433962264151,0.0,201.80414958366418,280.897299396837,355.30984561930325
parking01,replicate_02_base1042,stress_1hz,16695450777360005781,1.0,0.8982826948480944,1060,952,952,108,0,108,0.1018867924528302,0.0,303.43050562696203,462.849648860839,617.0980160125096
parking01,replicate_02_base1042,burst_5hz_1s_every_8s,16229449357640429068,5.0,4.312134364974571,5300,4571,4570,73,665,729,0.13754716981132076,0.12547169811320755,50.37806879499621,83.74155634945038,114.45884475052567
parking01,replicate_02_base1042,burst_2hz_2s_every_10s,5114529804804904554,2.0,1.509718814870747,2120,1600,1600,121,424,520,0.24528301886792453,0.2,197.19751717505497,282.9098282672572,383.31785492601944
parking02,replicate_02_base1042,ideal_10hz,7736173228880920100,10.0,10.000795671546879,12569,12569,12569,0,0,0,0.0,0.0,0.0,0.0,0.0
parking02,replicate_02_base1042,nominal_5hz,9348156910266746498,5.0,4.94987269255256,6285,6222,6221,63,0,63,0.010023866348448688,0.0,50.141883185422486,83.05030823246939,126.05159811670127
parking02,replicate_02_base1042,degraded_2hz,16349684467303709894,2.0,1.8841502227880504,2514,2368,2368,146,0,146,0.05807478122513922,0.0,198.8677630027658,282.89989909323646,364.02281862177324
parking02,replicate_02_base1042,stress_1hz,18400013253026766957,1.0,0.8999045194143941,1257,1131,1131,126,0,126,0.10023866348448687,0.0,299.87432254498873,461.8472489390879,709.9522062174283
parking02,replicate_02_base1042,burst_5hz_1s_every_8s,10293664362184842729,5.0,4.325270528325947,6285,5436,5436,65,790,849,0.1350835322195704,0.12569610182975338,49.50423486694444,82.64901065676732,122.26365362706166
parking02,replicate_02_base1042,burst_2hz_2s_every_10s,13316431732488910124,2.0,1.5125716104392246,2514,1901,1901,129,504,613,0.24383452665075578,0.20047732696897375,201.47078454461078,286.7196507975905,368.2159067022675
playground00,replicate_02_base1042,ideal_10hz,10076638425090429458,10.0,10.000754034082034,13263,13263,13263,0,0,0,0.0,0.0,0.0,0.0,0.0
playground00,replicate_02_base1042,nominal_5hz,5906555545817072456,5.0,4.947217614236012,6632,6562,6561,70,0,70,0.010554885404101327,0.0,49.89116492246025,83.10984501925377,122.25785428005607
playground00,replicate_02_base1042,degraded_2hz,5791743765499466507,2.0,1.911476398733164,2653,2535,2535,118,0,118,0.0444779494911421,0.0,200.42422811392802,283.9374714832844,363.343828099318
playground00,replicate_02_base1042,stress_1hz,16654042663079939257,1.0,0.9040868647262579,1327,1199,1199,128,0,128,0.09645817633760362,0.0,305.98795791967154,464.2987851553455,626.5702437606592
playground00,replicate_02_base1042,burst_5hz_1s_every_8s,6567870392679982984,5.0,4.3221233599757385,6632,5733,5732,75,830,899,0.13555488540410132,0.12515078407720145,49.87016268221067,82.59682467679984,119.18791774065136
playground00,replicate_02_base1042,burst_2hz_2s_every_10s,11219860814777831323,2.0,1.5201327099984452,2653,2017,2016,129,532,636,0.23972860912174895,0.20052770448548812,196.48390303060816,281.1752173666104,364.05726665955956
street00,replicate_02_base1042,ideal_10hz,1008121111058674944,10.0,10.000727960981312,13738,13738,13738,0,0,0,0.0,0.0,0.0,0.0,0.0
street00,replicate_02_base1042,nominal_5hz,18361516227116750220,5.0,4.946494867875092,6869,6795,6795,74,0,74,0.010773038287960402,0.0,49.79753267874107,83.38582294989915,124.68588285047107
street00,replicate_02_base1042,degraded_2hz,16656309545794830261,2.0,1.8985222392079826,2748,2608,2608,140,0,140,0.050946142649199416,0.0,200.62710975791276,285.91759020490883,373.52697624112136
street00,replicate_02_base1042,stress_1hz,11610095952652669609,1.0,0.9084953046516726,1374,1248,1248,126,0,126,0.09170305676855896,0.0,303.3666840760851,475.3126272435232,688.8764315308503
street00,replicate_02_base1042,burst_5hz_1s_every_8s,9405305314815466769,5.0,4.320448423964485,6869,5935,5935,89,860,934,0.13597321298587858,0.1252001746979182,50.08019087080121,82.44297975133892,127.96950291655152
street00,replicate_02_base1042,burst_2hz_2s_every_10s,18091065910698589718,2.0,1.5228943728616178,2748,2092,2092,132,552,656,0.23871906841339155,0.20087336244541484,199.5836772719931,280.56489232150096,383.87991105567176
street01,replicate_02_base1042,ideal_10hz,18407050130394649771,10.0,10.000801153661296,12483,12483,12483,0,0,0,0.0,0.0,0.0,0.0,0.0
street01,replicate_02_base1042,nominal_5hz,7745515103613176063,5.0,4.955135394968766,6242,6186,6185,56,0,56,0.008971483498878564,0.0,49.80571240443322,82.30613673529041,124.90163391413358
street01,replicate_02_base1042,degraded_2hz,12851477852353231740,2.0,1.8891203332799276,2497,2359,2358,138,0,138,0.0552663195835002,0.0,201.05352692934568,282.8419904313093,358.34091386936007
street01,replicate_02_base1042,stress_1hz,3524383388613393724,1.0,0.9133151738503467,1249,1141,1140,108,0,108,0.08646917534027222,0.0,299.03464653928177,461.7110877797573,580.9475368544572
street01,replicate_02_base1042,burst_5hz_1s_every_8s,17644936117127514578,5.0,4.339048229450419,6242,5416,5416,54,782,826,0.13232938160845883,0.12528035885933997,49.794985182447746,82.16501006206857,120.67019019468138
street01,replicate_02_base1042,burst_2hz_2s_every_10s,8257054081305269389,2.0,1.5205896490947,2497,1898,1898,129,500,599,0.23988786543852622,0.2002402883460152,200.18504052513705,283.10383925673426,386.5572459090675
street02,replicate_02_base1042,ideal_10hz,9331977848978897247,10.0,10.00072474271642,13799,13799,13799,0,0,0,0.0,0.0,0.0,0.0,0.0
street02,replicate_02_base1042,nominal_5hz,1297005170130606219,5.0,4.942745325409521,6900,6821,6820,79,0,79,0.01144927536231884,0.0,49.96565778712894,83.27923915442332,133.1558238682449
street02,replicate_02_base1042,degraded_2hz,17252045193307968489,2.0,1.8952022032178737,2760,2615,2615,145,0,145,0.05253623188405797,0.0,201.19379414192787,281.19250974175463,364.3498405161397
street02,replicate_02_base1042,stress_1hz,17211266452499408551,1.0,0.8928830265255909,1380,1232,1232,148,0,148,0.1072463768115942,0.0,297.7193368670923,468.4499924091118,632.401066711814
street02,replicate_02_base1042,burst_5hz_1s_every_8s,16301200656107685818,5.0,4.32164081750982,6900,5964,5963,79,865,936,0.1356521739130435,0.12536231884057972,49.67998975982465,83.0474118725189,127.49204751521725
street02,replicate_02_base1042,burst_2hz_2s_every_10s,10726355122229612292,2.0,1.5299318741846772,2760,2111,2111,127,552,649,0.2351449275362319,0.2,198.68767960079242,280.71659027566295,371.19797319280866
building00,replicate_03_base2042,ideal_10hz,1735069863700011421,10.0,10.000832778147908,12009,12009,12009,0,0,0,0.0,0.0,0.0,0.0,0.0
building00,replicate_03_base2042,nominal_5hz,7921680800441948837,5.0,4.952531645569623,6005,5948,5947,57,0,57,0.009492089925062447,0.0,50.27733837541125,83.36498667428158,117.93820886290868
building00,replicate_03_base2042,degraded_2hz,1561753659761192033,2.0,1.9137241838774162,2402,2298,2298,104,0,104,0.04329725228975854,0.0,199.13837872702751,281.9063847291391,381.5834045749085
building00,replicate_03_base2042,stress_1hz,7093307121411148718,1.0,0.9143904063957368,1201,1098,1098,103,0,103,0.08576186511240633,0.0,303.0603688053941,467.0367040706658,629.9400685810369
building00,replicate_03_base2042,burst_5hz_1s_every_8s,10034110821246971475,5.0,4.332111925383081,6005,5202,5202,54,755,803,0.133721898417985,0.1257285595337219,50.545134613834946,83.0634478119787,123.4970884447558
building00,replicate_03_base2042,burst_2hz_2s_every_10s,14549948440241129219,2.0,1.504830113257829,2402,1807,1807,130,482,595,0.24771024146544546,0.2006661115736886,200.2683740071568,284.92620580008025,354.4820919722066
building01,replicate_03_base2042,ideal_10hz,4068731311640387596,10.0,10.000730566919936,13689,13689,13689,0,0,0,0.0,0.0,0.0,0.0,0.0
building01,replicate_03_base2042,nominal_5hz,18378758381929051807,5.0,4.9400935125657535,6845,6763,6762,82,0,82,0.01197954711468225,0.0,49.58708190949876,82.4659729073416,123.70269890832259
building01,replicate_03_base2042,degraded_2hz,3927603116231850633,2.0,1.8958211572180022,2738,2595,2595,143,0,143,0.05222790357925493,0.0,201.4273402808754,282.0370693188642,398.6574786722899
building01,replicate_03_base2042,stress_1hz,17907285020456895533,1.0,0.9095558153126831,1369,1245,1245,124,0,124,0.09057706355003653,0.0,297.3078161157559,455.92861638509345,704.8393971127273
building01,replicate_03_base2042,burst_5hz_1s_every_8s,2650127304906361554,5.0,4.322764465225017,6845,5917,5917,73,860,928,0.13557341124908692,0.1256391526661797,49.68421523553574,81.87081224736329,124.73657467210049
building01,replicate_03_base2042,burst_2hz_2s_every_10s,3647388009244287227,2.0,1.5232320280537706,2738,2085,2085,139,548,653,0.23849525200876553,0.20014609203798392,203.08362257054702,284.0560408914299,377.7505883742517
building02,replicate_03_base2042,ideal_10hz,15560395117600571179,10.0,10.000534387858615,18714,18714,18714,0,0,0,0.0,0.0,0.0,0.0,0.0
building02,replicate_03_base2042,nominal_5hz,16505675390351595875,5.0,4.953775450221725,9357,9270,9270,87,0,87,0.009297851875601153,0.0,49.94207813557466,82.48827798008597,120.91611954210408
building02,replicate_03_base2042,degraded_2hz,16137912062847808996,2.0,1.898145674130266,3743,3552,3552,191,0,191,0.05102858669516431,0.0,199.2131465293499,283.46676184194604,373.40513760829884
building02,replicate_03_base2042,stress_1hz,2135197997036985070,1.0,0.9025810933575505,1872,1689,1689,183,0,183,0.09775641025641026,0.0,304.45368997409366,460.0368009825331,586.5193251830018
building02,replicate_03_base2042,burst_5hz_1s_every_8s,4645478433569332946,5.0,4.332816758403209,9357,8108,8108,92,1170,1249,0.13348295393822807,0.12504007694773966,49.59999102969324,82.69661047975197,118.24621162074877
building02,replicate_03_base2042,burst_2hz_2s_every_10s,2682121631431202026,2.0,1.5144551915780333,3743,2834,2834,200,751,909,0.24285332620892333,0.20064119690088164,199.28344514138075,284.3747339078592,375.6517382173886
parking00,replicate_03_base2042,ideal_10hz,3130201764297551945,10.0,10.000876577840215,11409,11409,11409,0,0,0,0.0,0.0,0.0,0.0,0.0
parking00,replicate_03_base2042,nominal_5hz,1361954721768810036,5.0,4.953541374474104,5705,5652,5651,53,0,53,0.009290096406660824,0.0,50.33205721164264,82.82936643073286,122.82247347601677
parking00,replicate_03_base2042,degraded_2hz,6967487007657678598,2.0,1.8951612903226,2282,2162,2162,120,0,120,0.05258545135845749,0.0,199.11946331580054,283.8050744419743,407.4027164263292
parking00,replicate_03_base2042,stress_1hz,10685721140712516967,1.0,0.8809607293127719,1141,1005,1005,136,0,136,0.11919368974583698,0.0,303.5669904181576,469.80205304067283,610.3031073091838
parking00,replicate_03_base2042,burst_5hz_1s_every_8s,11657018524899653756,5.0,4.335553997194995,5705,4947,4946,47,715,758,0.13286590709903592,0.12532865907099036,50.321579242584356,82.64237941141936,119.64679897801103
parking00,replicate_03_base2042,burst_2hz_2s_every_10s,4323111230964637921,2.0,1.5147265077139005,2282,1728,1728,124,458,554,0.2427695004382121,0.2007011393514461,199.24416577629563,279.103706134975,394.7257352277268
parking01,replicate_03_base2042,ideal_10hz,770733249381735002,10.0,10.000943574259404,10599,10599,10599,0,0,0,0.0,0.0,0.0,0.0,0.0
parking01,replicate_03_base2042,nominal_5hz,17645189499815148381,5.0,4.949990564257462,5300,5247,5246,53,0,53,0.01,0.0,50.17623193659832,84.72516652766103,127.45060665474531
